nip	nazwa	wapro_fv	wapro_netto_pln	wapro_brutto_pln	wapro_od	wapro_do	dopasowanie
5420201038	MPO SPÓŁKA Z O.O.	26	47749.43	47749.43	2026-03-03	2026-07-31	nip
9662071280	STUDIO PIELĘGNACJI SAMOCHODÓW ADAM KUSZNIERCZUK	5	45135.48	45135.48	2026-03-31	2026-07-31	nip
5422596650	NORD AUTO Sp. z o.o.	49	39178.38	39178.38	2026-03-03	2026-08-05	nip
5422840021	"AUTO PARK" Spółka z ograniczoną odpowiedzialności	31	35103.16	35103.16	2026-03-06	2026-08-05	nip
9661724745	RAK-BUD RACZKOWSCY SPÓŁKA KOMANDYTOWA	24	33142.91	33142.91	2026-03-05	2026-07-31	nip
5420116781	TOP AUTO Andrzej Arefiew	24	21674.80	21674.80	2026-03-11	2026-08-11	nip
5423491887	DAFIPAPIER SP.z o.o.	30	17006.37	17006.37	2026-03-04	2026-08-06	nip
5420200866	BIACOMEX  S.A.	10	14012.02	14012.02	2026-03-05	2026-08-03	nip
9662117220	MIASTO BIAŁYSTOK	13	13110.79	13110.79	2026-03-02	2026-06-08	nip
9661858842	MULTI SERVICE ENTERPISE KAROL CISZEWSKI	21	12904.28	12904.28	2026-03-23	2026-07-29	nip
8481862793	ENERGOUTIL  SP. Z O.O.	6	11122.64	11122.64	2026-03-31	2026-08-07	nip
7221001065	ZAKŁADY MIĘSNE "ŁUNIEWSCY"	4	10390.00	10390.00	2026-03-06	2026-06-24	nip
5422377014	Partner in Pet Food Poland S.A.	7	9192.13	9192.13	2026-03-02	2026-07-13	nip
5421036506	MULTI AUTO Sp.z o.o.	16	8009.53	8009.53	2026-04-02	2026-08-11	nip
5220023307	EWT AUTOMOTIVE POLSKA	7	6427.84	6427.84	2026-03-25	2026-07-30	nip
5420119986	P.W. "ARS" Alina Sylpaczuk	5	6208.13	6208.13	2026-03-06	2026-06-24	nip
9662072167	MULTICHEM s.c. M. BARWIEJUK, H.MŚCICHOWSKI	10	5884.32	5884.32	2026-03-04	2026-07-28	nip
7181546840	BHU "HOMKLAR" S.C.	4	5821.79	5821.79	2026-03-11	2026-07-24	nip
5420102980	HURTOWNIA CHEMDOM Jerzy Augustyńczyk	6	5774.69	5774.69	2026-03-20	2026-07-03	nip
5421028808	SZLIF-MOT ZDZISŁAW NIEWIAROWSKI	9	5714.71	5714.71	2026-03-09	2026-07-21	nip
5461307667	TSimport Tomasz Siemionkowicz	10	5342.40	5342.40	2026-03-05	2026-08-07	nip
5421753314	P.H.U. CARMEN ARTUR GRZYB	7	5252.36	5252.36	2026-03-13	2026-07-28	nip
5421033235	AUTO HOBBY Sp.z.o.o.	12	5148.94	5148.94	2026-03-18	2026-08-05	nip
5423020739	Wspólnota właścicieli lokali użytkowych	5	4966.31	4966.31	2026-03-23	2026-07-22	nip
9660637412	P.H.U. MIWAN Mikołaj Iwaniuk	11	4797.86	4797.86	2026-03-04	2026-07-29	nip
5432025328	"SUEMPOL" SP. Z O.O.	5	4783.84	4783.84	2026-03-20	2026-06-19	nip
7221000404	FIRMA HANDLOWO-USŁUGOWA "POL-KRUSZ" ZBIGNIEW WOJNO	3	4780.10	4780.10	2026-06-15	2026-08-07	nip
5421973694	AUTOPURE WIESŁAW TOMASZEWSKI	8	4743.98	4743.98	2026-05-05	2026-07-28	nip
5432049091	FAL-TRANS RAFAŁ FALKOWSKI	5	4374.10	4374.10	2026-04-02	2026-07-17	nip
5430009495	PĘSKI TADEUSZ PHU AUTO-CZĘŚCI	7	4133.49	4133.49	2026-04-02	2026-07-31	nip
5422381435	AUTO SPA BEATA ANYSZKO	9	4068.27	4068.27	2026-03-09	2026-07-27	nip
9662119087	KOMA BIAŁYSTOK SPÓŁKA Z OGRANICZONĄ	6	3971.37	3971.37	2026-03-05	2026-08-05	nip
8252031062	FROZENTIS Katarzyna Blicharska	3	3883.79	3883.79	2026-03-30	2026-07-09	nip
5421142941	AUTOSPA ARNOLD SOBOLEWSKI	7	3505.36	3505.36	2026-03-03	2026-06-10	nip
7621869904	JAR-TRANS Jarosław Wyszyński	4	3310.00	3310.00	2026-03-31	2026-07-31	nip
9662179623	IBATUR  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	8	2728.45	2728.45	2026-03-20	2026-07-27	nip
7190005635	BOMAR MAREK WOJCIECHOWSKI	10	2515.00	2515.00	2026-03-05	2026-07-22	nip
1132709836	ODYSSEY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	4	2422.64	2422.64	2026-03-09	2026-07-31	nip
5420000618	KONRYS Konstanty i Krzysztof Świerzbińscy Spółka J	3	2328.51	2328.51	2026-04-27	2026-08-04	nip
8461675740	AUTO MYJNIA Daniel Ścibek	4	2030.48	2030.48	2026-03-11	2026-05-05	nip
8481883358	AUTO DETAILING CAR AS SP. Z O.O.	7	1842.86	1842.86	2026-03-13	2026-08-07	nip
5423491350	MEDIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	6	1721.22	1721.22	2026-03-16	2026-07-28	nip
5432032943	BadBoyShop Mariusz Laszkiewicz	5	1681.11	1681.11	2026-03-03	2026-07-03	nip
5420000771	POWSZECHNA SPÓŁDZIELNIA SPOŻYWCÓW "SPOŁEM"	3	1460.03	1460.03	2026-04-22	2026-08-05	nip
8441439893	AUTO MYJNIA "DOROTA" Dorota Golub	3	1281.00	1281.00	2026-03-04	2026-06-03	nip
5423192937	BUDMAX TĘPIŃSKI I WSPÓLNICY SPÓŁKA JAWNA	1	1110.98	1110.98	2026-06-10	2026-06-10	nip
5461172374	DUAL SZYMON MROCZKO	8	1061.50	1061.50	2026-04-02	2026-07-14	nip
7181958086	ŻWIROWNIA SŁAWKOWO Tomasz Chełstowski	2	1056.00	1056.00	2026-05-11	2026-07-23	nip
7591758665	BEEF-MAREK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	2	982.05	982.05	2026-05-22	2026-06-12	nip
7621424616	GW TRANSPORT GRZEGORZ WYSZYŃSKI	3	956.08	956.08	2026-03-31	2026-07-16	nip
5422575613	AUTO IDEA Sp. z o.o.	1	767.40	767.40	2026-07-08	2026-07-08	nip
5421671071	GASTRO STREFA Sp. z o.o.	4	746.68	746.68	2026-03-02	2026-07-13	nip
5420200381	PUHP "LECH" SP. Z O.O.	3	714.09	714.09	2026-06-22	2026-07-29	nip
5423220243	HG "EMAS" SP. Z O.O. SP.K.	2	659.19	659.19	2026-03-23	2026-03-24	nip
5422072792	PODLASKI ODDZIAŁ STRAŻY GRANICZNEJ	1	650.32	650.32	2026-07-15	2026-07-15	nip
5420111134	Przedsiębiorstwo Handlowo-Usługowe WIMEX	3	580.06	580.06	2026-03-06	2026-08-07	nip
5423254325	PROKURATURA REGIONALNA	1	576.10	576.10	2026-05-29	2026-05-29	nip
5241030028	P.P.M.B " BOSTA - BETON" Sp. z o.o.	1	573.18	573.18	2026-04-21	2026-04-21	nip
6343018014	G&K RAIL ECM  SP.Z O.O.	1	559.89	559.89	2026-06-23	2026-06-23	nip
6030083005	ENERVIBE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	2	546.40	546.40	2026-03-10	2026-06-02	nip
5421006681	PRZEDSIĘBIORSTWO WIELOBRANŻOWE "GAJA"	3	532.37	532.37	2026-03-26	2026-04-28	nip
8251469566	Andrzej Borkowski	1	520.00	520.00	2026-05-20	2026-05-20	nip
9662198017	ER ŁAPIŃSKI SPÓŁKA JAWNA	1	517.06	517.06	2026-05-11	2026-05-11	nip
8461452721	MIRAD s.c.	1	491.83	491.83	2026-04-02	2026-04-02	nip
5423277065	ELŻBIETA JÓŹWIAK	2	438.98	438.98	2026-03-30	2026-05-04	nip
9661599760	KOMPAS Robert Polewczak	1	384.53	384.53	2026-08-10	2026-08-10	nip
5470292497	XANTHI Bogdan Matyja	1	343.41	343.41	2026-05-25	2026-05-25	nip
9662201400	PROBET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	3	340.92	340.92	2026-05-06	2026-06-25	nip
5542520460	PLANIKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	1	270.60	270.60	2026-04-15	2026-04-15	nip
5423135632	AUTOLIDL Andrzej Pietrzykowski,	1	261.70	261.70	2026-04-29	2026-04-29	nip
9661635421	Rob-Car Robert Ziniewicz	2	225.93	225.93	2026-05-05	2026-06-09	nip
7230003081	P.H.U.P.MOTOZBYT	1	162.59	162.59	2026-03-04	2026-03-04	nip
5421025750	PODLASKI URZĄD WOJEWÓDZKI W BIAŁYMSTOKU	2	161.01	161.01	2026-04-07	2026-07-13	nip
9660112141	Przedsiębiorstwo Wielobranżowe "WIDLAK"	1	144.16	144.16	2026-05-04	2026-05-04	nip
5451797078	D-CAR DARIUSZ KLIMIUK	2	123.47	123.47	2026-04-07	2026-05-05	nip
5421047415	CHANIEWSKI ADAM CHANIEWSKI	1	89.26	89.26	2026-03-11	2026-03-11	nip
5213808131	ETERNIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	1	30.08	30.08	2026-06-08	2026-06-08	nip
